utt_id,dataset,condition,op,ref_word,hyp_word,ref_context,ref_sentence,hyp_sentence,approx_time_s,speaker,accent,why_category,annotator_notes,pattern_freq
l2arctic_ABA_arctic_a0031,l2arctic,offline,delete,hundred,,they were three [hundred] yards apart,They were three hundred yards apart,They were 300 yards apart.,0.76,ABA,Arabic,deletion_other,auto-critical,6
l2arctic_ASI_arctic_a0031,l2arctic,offline,delete,hundred,,they were three [hundred] yards apart,They were three hundred yards apart,They were 300 yards apart.,0.36,ASI,Hindi,accent_phoneme,auto-critical,6
l2arctic_BWC_arctic_a0031,l2arctic,offline,delete,hundred,,they were three [hundred] yards apart,They were three hundred yards apart,they were 300 yards apart.,0.42,BWC,Mandarin,accent_phoneme,auto-critical,6
l2arctic_EBVS_arctic_a0031,l2arctic,offline,delete,hundred,,they were three [hundred] yards apart,They were three hundred yards apart,They were 300 yards apart.,0.48,EBVS,Spanish,deletion_other,auto-critical,6
l2arctic_HJK_arctic_a0031,l2arctic,offline,delete,hundred,,they were three [hundred] yards apart,They were three hundred yards apart,They were 300 yards apart.,0.38,HJK,Korean,deletion_other,auto-critical,6
l2arctic_HQTV_arctic_a0031,l2arctic,offline,delete,hundred,,they were three [hundred] yards apart,They were three hundred yards apart,They were 300 yards apart.,0.46,HQTV,Vietnamese,accent_phoneme,auto-critical,6
l2arctic_ABA_arctic_a0006,l2arctic,offline,substitute,em,them,god bless [em] i hope i'll,God bless 'em I hope I'll go on seeing them forever,God bless them. I hope I'll go on seeing them forever.,0.52,ABA,Arabic,reference_error,auto-critical,6
l2arctic_ASI_arctic_a0006,l2arctic,offline,substitute,em,them,god bless [em] i hope i'll,God bless 'em I hope I'll go on seeing them forever,God bless them. I hope I'll go on seeing them forever.,0.6,ASI,Hindi,reference_error,auto-critical,6
l2arctic_BWC_arctic_a0006,l2arctic,offline,substitute,em,them,god bless [em] i hope i,God bless 'em I hope I will go on seeing them forever,God bless them. I hope I will go on seeing them forever.,0.78,BWC,Mandarin,reference_error,auto-critical,6
l2arctic_EBVS_arctic_a0006,l2arctic,offline,substitute,em,them,god bless [em] i hope i'll,God bless 'em I hope I'll go on seeing them forever,God bless them. I hope I'll go on seeing them forever.,0.48,EBVS,Spanish,reference_error,auto-critical,6
l2arctic_HJK_arctic_a0006,l2arctic,offline,substitute,em,them,god bless [em] i hope i'll,God bless 'em I hope I'll go on seeing them forever,God bless them. I hope I will go on seeing them forever.,0.52,HJK,Korean,reference_error,auto-critical,6
l2arctic_HQTV_arctic_a0006,l2arctic,offline,substitute,em,them,god bless [em] i hope i'll,God bless 'em I hope I'll go on seeing them forever,God bless them. I hope I go and see them forever.,0.54,HQTV,Vietnamese,reference_error,auto-critical,6
l2arctic_ABA_arctic_a0031,l2arctic,offline,substitute,three,300,they were [three] hundred yards apart,They were three hundred yards apart,They were 300 yards apart.,0.76,ABA,Arabic,normalization,auto-critical,6
l2arctic_ASI_arctic_a0031,l2arctic,offline,substitute,three,300,they were [three] hundred yards apart,They were three hundred yards apart,They were 300 yards apart.,0.36,ASI,Hindi,normalization,auto-critical,6
l2arctic_BWC_arctic_a0031,l2arctic,offline,substitute,three,300,they were [three] hundred yards apart,They were three hundred yards apart,they were 300 yards apart.,0.42,BWC,Mandarin,normalization,auto-critical,6
l2arctic_EBVS_arctic_a0031,l2arctic,offline,substitute,three,300,they were [three] hundred yards apart,They were three hundred yards apart,They were 300 yards apart.,0.48,EBVS,Spanish,normalization,auto-critical,6
l2arctic_HJK_arctic_a0031,l2arctic,offline,substitute,three,300,they were [three] hundred yards apart,They were three hundred yards apart,They were 300 yards apart.,0.38,HJK,Korean,normalization,auto-critical,6
l2arctic_HQTV_arctic_a0031,l2arctic,offline,substitute,three,300,they were [three] hundred yards apart,They were three hundred yards apart,They were 300 yards apart.,0.46,HQTV,Vietnamese,normalization,auto-critical,6
l2arctic_ABA_arctic_a0060,l2arctic,offline,insert,,a,,Anyway no one saw her like that,"In a way, no one saw hair like that.",0.24,ABA,Arabic,hallucination,auto-critical,5
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,a,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",6.66,BWC,Mandarin,hallucination,auto-critical,5
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,a,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",6.68,BWC,Mandarin,hallucination,auto-critical,5
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,a,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",7.0,BWC,Mandarin,hallucination,auto-critical,5
l2arctic_HQTV_arctic_a0046,l2arctic,offline,insert,,a,,The girl faced him her eyes shining with sudden fear,"The girl faced him, her eyes shining with a sudden fear.",2.92,HQTV,Vietnamese,accent_phoneme,auto-critical,5
l2arctic_ABA_arctic_a0003,l2arctic,offline,substitute,twentieth,20th,for the [twentieth] time that evening,For the twentieth time that evening the two men shook hands,for the 20th time that evening the two men shook hands.,0.68,ABA,Arabic,normalization,auto-critical,5
l2arctic_ASI_arctic_a0003,l2arctic,offline,substitute,twentieth,20th,for the [twentieth] time that evening,For the twentieth time that evening the two men shook hands,for the 20th time that evening the two men shook hands.,0.32,ASI,Hindi,normalization,auto-critical,5
l2arctic_EBVS_arctic_a0003,l2arctic,offline,substitute,twentieth,20th,for the [twentieth] time that evening,For the twentieth time that evening the two men shook hands,"For the 20th time that evening, the two men shook hands.",0.34,EBVS,Spanish,normalization,auto-critical,5
l2arctic_HJK_arctic_a0003,l2arctic,offline,substitute,twentieth,20th,for the [twentieth] time that evening,For the twentieth time that evening the two men shook hands,for the 20th time that evening the two men shook hands.,0.36,HJK,Korean,normalization,auto-critical,5
l2arctic_HQTV_arctic_a0003,l2arctic,offline,substitute,twentieth,20th,for the [twentieth] time that evening,For the twentieth time that evening the two men shook hands,for the 20th time that evening the two men shook hands,0.4,HQTV,Vietnamese,normalization,auto-critical,5
l2arctic_ABA_arctic_a0010,l2arctic,offline,insert,,i,,I'm playing a single hand in what looks like a losing game,I am playing a single hand in what looks like a losing game.,0.0,ABA,Arabic,hallucination,auto-critical,4
l2arctic_ASI_arctic_a0010,l2arctic,offline,insert,,i,,I'm playing a single hand in what looks like a losing game,I am playing a single hand in what looks like a losing game.,0.0,ASI,Hindi,hallucination,auto-critical,4
l2arctic_HJK_arctic_a0006,l2arctic,offline,insert,,i,,God bless 'em I hope I'll go on seeing them forever,God bless them. I hope I will go on seeing them forever.,1.48,HJK,Korean,hallucination,auto-critical,4
l2arctic_HJK_arctic_a0041,l2arctic,offline,insert,,i,,Meanwhile I'll go out to breathe a spell,"Meanwhile, I will go out to breathe a spell.",1.0,HJK,Korean,hallucination,auto-critical,4
l2arctic_ASI_arctic_a0039,l2arctic,offline,substitute,ten,10,a week or [ten] days,The ship should be in within a week or ten days,The ship should be in within a week or 10 days.,2.02,ASI,Hindi,normalization,auto-critical,4
l2arctic_BWC_arctic_a0039,l2arctic,offline,substitute,ten,10,a week or [ten] days,The ship should be in within a week or ten days,The sheep should be eaten within a week or 10 days.,3.14,BWC,Mandarin,normalization,auto-critical,4
l2arctic_EBVS_arctic_a0039,l2arctic,offline,substitute,ten,10,a week or [ten] days,The ship should be in within a week or ten days,the shift should be in within a week or 10 days.,3.08,EBVS,Spanish,normalization,auto-critical,4
l2arctic_HQTV_arctic_a0039,l2arctic,offline,substitute,ten,10,a week or [ten] days,The ship should be in within a week or ten days,the ship should be in within a week or 10 days.,2.56,HQTV,Vietnamese,normalization,auto-critical,4
l2arctic_ABA_arctic_a0048,l2arctic,offline,insert,,hand,,He looked at the handkerchief more closely,He looked at the hand kerchief more closely.,1.34,ABA,Arabic,hallucination,auto-critical,3
l2arctic_ABA_arctic_a0053,l2arctic,offline,insert,,hand,,Suddenly his fingers closed tightly over the handkerchief,"Suddenly, his fingers closed tightly over the hand crochet.",3.08,ABA,Arabic,accent_phoneme,auto-critical,3
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,the,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",6.66,BWC,Mandarin,hallucination,auto-critical,3
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,delicate,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",6.68,BWC,Mandarin,hallucination,auto-critical,3
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,emerald,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",6.68,BWC,Mandarin,hallucination,auto-critical,3
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,color,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",6.68,BWC,Mandarin,hallucination,auto-critical,3
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,delicate,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",6.68,BWC,Mandarin,hallucination,auto-critical,3
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,emerald,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",6.68,BWC,Mandarin,hallucination,auto-critical,3
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,color,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",6.72,BWC,Mandarin,hallucination,auto-critical,3
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,delicate,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",7.0,BWC,Mandarin,hallucination,auto-critical,3
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,emerald,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",7.02,BWC,Mandarin,hallucination,auto-critical,3
l2arctic_BWC_arctic_a0051,l2arctic,offline,insert,,color,,The lace was of a delicate ivory color faintly tinted with yellow,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",7.02,BWC,Mandarin,hallucination,auto-critical,3
