utt_id,accent,cefr,ref,baseline_hyp,adapted_hyp,changed,wer_baseline,wer_adapted
svarah_00021,Hindi,,it is something which gives you warmth and the flavours are very different from the kind of food we as North Indians eat.,It is something which gives you warmth and the flavors are very different from the kind of food we as North Indians eat.,It is something which gives you warmth and the flavors are very different from the kind of food we as North Indians eat.,False,0.043478260869565216,0.043478260869565216
svarah_00024,Punjabi,,"on each and every subject and he definitely deals with, handles all the good part of the happenings around the world.",on each and every subject and he definitely deals with handles all the good part of the happenings around the world.,on each and every subject and he definitely deals with handles all the good part of the happenings around the world.,False,0.0,0.0
svarah_00037,Kannada,,our local traditions and beliefs by giving an opportunity,our local traditions and beliefs by giving an opportunity.,our local traditions and beliefs by giving an opportunity.,False,0.0,0.0
svarah_00038,Nepali,,Are there any vaccination centres available in South Goa district for age group 18+ years,Are there any vaccination centers available in South Goa district for age group 18 plus years?,Are there any vaccination centers available in South Goa district for age group 18 plus years?,False,0.13333333333333333,0.13333333333333333
svarah_00053,Gujarati,,"The radiation, the chemotherapy, everything, every every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states.","the radiation, the chemotherapy, everything, every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states.","the radiation, the chemotherapy, everything, every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states.",False,0.030303030303030304,0.030303030303030304
svarah_00081,Marathi,,The major challenge faced by students in Maharashtra,The major challenge faced by students in Maharashtra,The major challenge faced by students in Maharashtra,False,0.0,0.0
svarah_00082,Gujarati,,Can you speak the five dates that you remember?,Can you speak the five dates that you remember?,Can you speak the five dates that you remember?,False,0.0,0.0
svarah_00088,Hindi,,Can I avail any extra discount offers on Cereals this year?,Can I avail any extra discount offers on cereals this year?,Can I avail any extra discount offers on cereals this year?,False,0.0,0.0
svarah_00089,Gujarati,,main medium of communication has been Gujarati,Main medium of communication has been Gujrati.,Main medium of communication has been Gujrati.,False,0.14285714285714285,0.14285714285714285
svarah_00106,Gujarati,,this incident was the third major attack this week.,This incident was the third major attack this week.,This incident was the third major attack this week.,False,0.0,0.0
svarah_00169,Gujarati,,There was a movie called What's your Raashee which was based on that book.,There was a movie called What's a Rashi which was based on that book.,There was a movie called What's a Rashi which was based on that book.,False,0.14285714285714285,0.14285714285714285
svarah_00230,Assamese,,How has the English language influenced your culture and identity?,How has the English language influenced your culture and identity?,How has the English language influenced your culture and identity?,False,0.0,0.0
svarah_00322,Marathi,,The dialects,the dialects,the dialects,False,0.0,0.0
svarah_00340,Urdu,,orderly development and progress,Orderly development and progress.,Orderly development and progress.,False,0.0,0.0
svarah_00397,Tamil,,to underprivileged and marginalized communities,to underprivileged and marginalized communities.,to underprivileged and marginalized communities.,False,0.0,0.0
svarah_00398,Bodo,,Though it was celebrated by the Bodos in a traditional way,though it was celebrated by the borders in a traditional way.,though it was celebrated by the borders in a traditional way.,False,0.09090909090909091,0.09090909090909091
svarah_00406,Hindi,,My favorite quote is from a classic play named A Woman of No Importance by Oscar Wilde.,My favourite quote is from a classic play named A Woman of No Importance by Oscar Wilde.,My favourite quote is from a classic play named A Woman of No Importance by Oscar Wilde.,False,0.058823529411764705,0.058823529411764705
svarah_00413,Nepali,,I feel this is the best way to preserve the nature in urban areas.,I feel this is the best way to preserve the nature in urban areas.,I feel this is the best way to preserve the nature in urban areas.,False,0.0,0.0
svarah_00434,Malayalam,,"So here we are a state that boasts of 100% literacy, which means that all our citizens,",So here we are a state that boasts of 100% literacy which means that all are citizens.,So here we are a state that boasts of 100% literacy which means that all are citizens.,False,0.058823529411764705,0.058823529411764705
svarah_00461,Kannada,,It got stick it just went on sticking and tearing,It just went on sticking and tearing.,It just went on sticking and tearing.,False,0.3,0.3
svarah_00514,Dogri,,And it's highly impacted our business.,and it has all impacted our business.,and it has all impacted our business.,False,0.5,0.5
svarah_00541,Gujarati,,handle codes of conduct and there is one to investigate into Corruption into selections and one is I think,handle codes of conduct and there is one to investigate into corrections into selections and one is I think,handle codes of conduct and there is one to investigate into corrections into selections and one is I think,False,0.05263157894736842,0.05263157894736842
svarah_00544,Gujarati,,and the social is like disconnect between upper class and lower class,and the social is like disconnect between upper class and lower class,and the social is like disconnect between upper class and lower class,False,0.0,0.0
svarah_00601,Konkani,,Why did it take 8 hours to deliver my order when I was told that it would be delivered in 7 minutes,Why did it take 8 hours to deliver my order when I was told that it would be delivered in 7 minutes?,Why did it take 8 hours to deliver my order when I was told that it would be delivered in 7 minutes?,False,0.0,0.0
svarah_00688,Bodo,,those places,those places.,those places.,False,0.0,0.0
svarah_00690,Bengali,,Please show me the reciept of my Credit Card bill.,Please show me the receipt of my credit card bill.,Please show me the receipt of my credit card bill.,False,0.1,0.1
svarah_00697,Punjabi,,"Yelaneeru Ghat in Kudremukh in Chikkamagaluru district of Karnataka, India","Yela Nehru Ghat in Kudramuk in Chikmagaluru district of Karnataka, India.","Yela Nehru Ghat in Kudramuk in Chikmagaluru district of Karnataka, India.",False,0.4,0.4
svarah_00720,Assamese,,My passion for riding bikes existed probably since I saw my grandfather's old RX100 Then came the movie Dhoom and I was probably 12 years old by then,"My passion for riding bikes existed probably since I saw my grandfather's old RX100. Then came the movie Two Men, I was probably 12 years old by then.","My passion for riding bikes existed probably since I saw my grandfather's old RX100. Then came the movie Two Men, I was probably 12 years old by then.",False,0.07142857142857142,0.07142857142857142
svarah_00721,Nepali,,Are thers any nearby vaccination center,Are there any nearby vaccination center?,Are there any nearby vaccination center?,False,0.16666666666666666,0.16666666666666666
svarah_00722,Malayalam,,how is the traffic around city center,How is the traffic around cities and earth?,How is the traffic around cities and earth?,False,0.42857142857142855,0.42857142857142855
svarah_00813,Odia,,"Rather, there are several several local stories and several legends which are from each of the former princely states.",rather there are several local stories and several legends which are from each of the former princely states.,rather there are several local stories and several legends which are from each of the former princely states.,False,0.05263157894736842,0.05263157894736842
svarah_00836,Telugu,,It's beautiful.,It's beautiful.,It's beautiful.,False,0.0,0.0
svarah_00878,Odia,,and there is Konar Chandrabhaga beach.,and there's Konaar Chandra Bhaga Beach.,and there's Konaar Chandra Bhaga Beach.,False,0.6666666666666666,0.6666666666666666
