utt_id,accent,cefr,ref,baseline_hyp,adapted_hyp,changed,wer_baseline,wer_adapted
l2arctic_ABA_arctic_a0005,Arabic,,Will we ever forget it,will we ever forget it,will we ever forget it,False,0.0,0.0
l2arctic_ABA_arctic_a0006,Arabic,,God bless 'em I hope I'll go on seeing them forever,god bless them i hope i'll go on seeing them forever,god bless them i hope i'll go on seeing them for ever,True,0.09090909090909091,0.2727272727272727
l2arctic_ABA_arctic_a0007,Arabic,,And you always want to see it in the superlative degree,and you always want to see it in the superlative degree,and you always want to see it in the superlative degree,False,0.0,0.0
l2arctic_ABA_arctic_a0008,Arabic,,Gad your letter came just in time,gad your letter came just in time,ged your letter came just in time,True,0.0,0.14285714285714285
l2arctic_ABA_arctic_a0018,Arabic,,There was a change now,there was a change now,there was a change now,False,0.0,0.0
l2arctic_ABA_arctic_a0019,Arabic,,I followed the line of the proposed railroad looking for chances,i followed the line of the proposed railroad looking for chances,i followed the line of the proposed railroad looking for chances,False,0.0,0.0
l2arctic_ABA_arctic_a0021,Arabic,,It fairly clubbed me into recognizing it,it fairly clubbed me into recognizing it,it fairly clubbed me into recognizing it,False,0.0,0.0
l2arctic_ABA_arctic_a0025,Arabic,,I was about to do this when cooler judgment prevailed,i was about to do this when cooler judgment prevailed,i was about to do this when cooler judgment prevailed,False,0.0,0.0
l2arctic_ABA_arctic_a0026,Arabic,,It occurred to me that there would have to be an accounting,it occurred to me that there would have to be an accounting,it occurred to me that there would have to be an accounting,False,0.0,0.0
l2arctic_ABA_arctic_a0027,Arabic,,To my surprise he began to show actual enthusiasm in my favor,to my surprise he began to show actual enthusiasm in my favor,to my surprise he began to show actual enthusiasm in my favor,False,0.0,0.0
l2arctic_ABA_arctic_a0028,Arabic,,Robbery bribery fraud,robbery bribery fraud,robbery bribery fraud,False,0.0,0.0
l2arctic_ABA_arctic_a0029,Arabic,,Their forces were already moving into the north country,their forces were already moving into the north country,their forces were already moving into the north country,False,0.0,0.0
l2arctic_ABA_arctic_a0030,Arabic,,I had faith in them,i had faith in them,i had faith in them,False,0.0,0.0
l2arctic_ABA_arctic_a0036,Arabic,,She turned in at the hotel,she turned in at the hotel,she turned in at the hotel,False,0.0,0.0
l2arctic_ABA_arctic_a0037,Arabic,,I was the only one who remained sitting,i was the only one who remained sitting,i was the only one who remained sitting,False,0.0,0.0
l2arctic_ABA_arctic_a0039,Arabic,,The ship should be in within a week or ten days,the ship should be in within a week or ten days,the ship should be in within a week or ten days,False,0.0,0.0
l2arctic_ABA_arctic_a0040,Arabic,,I suppose you wonder why she is coming up here,i suppose you wonder why she is coming up here,i suppose you wonder why she is coming up here,False,0.0,0.0
l2arctic_ABA_arctic_a0041,Arabic,,Meanwhile I'll go out to breathe a spell,meanwhile i'll go awt to breathe spell,meanwhile i'll go out to breathe spell,True,0.25,0.125
l2arctic_ABA_arctic_a0042,Arabic,,How could he explain his possession of the sketch,how could he explain his position of the sketch,how could he explain his position of the sketch,False,0.1111111111111111,0.1111111111111111
l2arctic_ABA_arctic_a0045,Arabic,,He moved away as quietly as he had come,he moved away as quietly as he had come,he moved away as quietly as he had come,False,0.0,0.0
