idx,utt_id,wav_path,seek_s,op,ref_word,hyp_word,ref_context,hyp_sentence,auto_category,human_category,agree_Y_N,notes
1,l2arctic_BWC_arctic_a0040,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_BWC_arctic_a0040.wav,1.8,delete,is,,wonder why she [is] coming up here,I suppose you wonder why she's coming up here.,deletion_other,,,
2,l2arctic_ABA_arctic_a0060,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_ABA_arctic_a0060.wav,0.24,insert,,a,,"In a way, no one saw hair like that.",hallucination,,,
3,l2arctic_ABA_arctic_a0053,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_ABA_arctic_a0053.wav,3.3,substitute,handkerchief,crochet,tightly over the [handkerchief],"Suddenly, his fingers closed tightly over the hand crochet.",accent_phoneme,,,
4,l2arctic_HQTV_arctic_a0051,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_HQTV_arctic_a0051.wav,3.72,substitute,faintly,friendly,delicate ivory color [faintly] tinted with yellow,"The legs will offer a delicate ivory color, friendly tiny with yellow",accent_phoneme,,,
5,l2arctic_HQTV_arctic_a0076,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_HQTV_arctic_a0076.wav,2.42,substitute,deepened,deepens,faltered the flush [deepened],The gray eyes fondle the flush deepens.,accent_phoneme,,,
6,l2arctic_EBVS_arctic_a0036,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_EBVS_arctic_a0036.wav,1.4,substitute,the,hotter,turned in at [the] hotel,she turned in a hotter.,accent_phoneme,,,
7,l2arctic_ABA_arctic_a0076,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_ABA_arctic_a0076.wav,0.22,substitute,gray,grey,the [gray] eyes faltered the,The grey eyes filtered the flash deepened,normalization,,,
8,l2arctic_BWC_arctic_a0021,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_BWC_arctic_a0021.wav,0.98,insert,,re,,it fairly re -clapped me into recognizing it.,accent_phoneme,,,
9,l2arctic_HJK_arctic_a0031,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_HJK_arctic_a0031.wav,0.38,delete,hundred,,they were three [hundred] yards apart,They were 300 yards apart.,deletion_other,,,
10,l2arctic_EBVS_arctic_a0039,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_EBVS_arctic_a0039.wav,3.08,substitute,ten,10,a week or [ten] days,the shift should be in within a week or 10 days.,normalization,,,
11,l2arctic_EBVS_arctic_a0006,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_EBVS_arctic_a0006.wav,0.48,substitute,em,them,god bless [em] i hope i'll,God bless them. I hope I'll go on seeing them forever.,reference_error,,,
12,l2arctic_HQTV_arctic_a0028,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_HQTV_arctic_a0028.wav,1.66,substitute,fraud,froth,robbery bribery [fraud],"rubbery, grippery froth.",model_lexical,,,
13,l2arctic_BWC_arctic_a0048,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_BWC_arctic_a0048.wav,1.24,insert,,hanker,,he looked at the hanker shift more closely.,hallucination,,,
14,l2arctic_HQTV_arctic_a0006,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_HQTV_arctic_a0006.wav,1.62,substitute,i'll,i,em i hope [i'll] go on seeing,God bless them. I hope I go and see them forever.,accent_phoneme,,,
15,l2arctic_HQTV_arctic_a0007,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_HQTV_arctic_a0007.wav,0.48,substitute,always,only,and you [always] want to see,and you only want to see it in the superlative degree,accent_phoneme,,,
16,l2arctic_HQTV_arctic_a0046,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_HQTV_arctic_a0046.wav,2.92,insert,,a,,"The girl faced him, her eyes shining with a sudden fear.",accent_phoneme,,,
17,l2arctic_BWC_arctic_a0046,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_BWC_arctic_a0046.wav,3.62,substitute,sudden,shouted,eyes shining with [sudden] fear,"The girl faced him, her eyes shining with shouted fear.",accent_phoneme,,,
18,l2arctic_HQTV_arctic_a0041,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_HQTV_arctic_a0041.wav,0.64,substitute,i'll,i'm,meanwhile [i'll] go out to,"Meanwhile, I'm going out to breathe the spell",accent_phoneme,,,
19,l2arctic_BWC_arctic_a0065,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_BWC_arctic_a0065.wav,3.02,substitute,like,little,his fingers were [like] cords of steel,Stay close now until his fingers were little cord of steel.,accent_phoneme,,,
20,l2arctic_EBVS_arctic_a0053,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_EBVS_arctic_a0053.wav,3.52,substitute,handkerchief,chief,tightly over the [handkerchief],"Suddenly, his fingers closed tightly over the hungry chief.",accent_phoneme,,,
21,l2arctic_BWC_arctic_a0006,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_BWC_arctic_a0006.wav,0.78,substitute,em,them,god bless [em] i hope i,God bless them. I hope I will go on seeing them forever.,reference_error,,,
22,l2arctic_HQTV_arctic_a0025,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_HQTV_arctic_a0025.wav,2.72,substitute,prevailed,reviled,when cooler judgment [prevailed],I was about to do this when the cool adjustment reviled,accent_phoneme,,,
23,l2arctic_HQTV_arctic_a0006,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_HQTV_arctic_a0006.wav,2.36,substitute,seeing,see,i'll go on [seeing] them forever,God bless them. I hope I go and see them forever.,accent_phoneme,,,
24,l2arctic_HQTV_arctic_a0041,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_HQTV_arctic_a0041.wav,1.86,substitute,a,the,out to breathe [a] spell,"Meanwhile, I'm going out to breathe the spell",accent_phoneme,,,
25,l2arctic_BWC_arctic_a0051,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_BWC_arctic_a0051.wav,6.68,insert,,color,,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",hallucination,,,
26,l2arctic_ABA_arctic_a0032,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_ABA_arctic_a0032.wav,1.84,substitute,mysterious,maestre,since then some [mysterious] force has been,"Since then, some Maestre force has been fighting us at every step.",model_lexical,,,
27,l2arctic_BWC_arctic_a0051,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_BWC_arctic_a0051.wav,2.56,substitute,ivory,emerald,of a delicate [ivory] color faintly tinted,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",accent_phoneme,,,
28,l2arctic_ASI_arctic_a0039,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_ASI_arctic_a0039.wav,2.02,substitute,ten,10,a week or [ten] days,The ship should be in within a week or 10 days.,normalization,,,
29,l2arctic_BWC_arctic_a0042,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_BWC_arctic_a0042.wav,0.38,substitute,could,would,how [could] he explain his,How would she explain his perception of the sketch?,accent_phoneme,,,
30,l2arctic_BWC_arctic_a0025,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_BWC_arctic_a0025.wav,3.02,substitute,prevailed,previewed,when cooler judgment [prevailed],I was about to do this one cooler document previewed.,accent_phoneme,,,
31,l2arctic_ABA_arctic_a0073,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_ABA_arctic_a0073.wav,0.3,insert,,brew,,The brew meter's eyes were heavy with little puffy pugs under them.,accent_phoneme,,,
32,l2arctic_BWC_arctic_a0013,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_BWC_arctic_a0013.wav,4.94,substitute,physique,physics,of almost delicate [physique],he was a head shorter than his companion of almost delicate physics.,accent_phoneme,,,
33,l2arctic_HQTV_arctic_a0019,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_HQTV_arctic_a0019.wav,0.0,delete,the,,the line of [the] proposed railroad looking,I followed the line of proposed railroad looking for change,deletion_other,,,
34,l2arctic_BWC_arctic_a0019,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_BWC_arctic_a0019.wav,2.28,substitute,proposed,proper,line of the [proposed] railroad looking for,I followed the line of the proper railroad looking for chance.,model_lexical,,,
35,l2arctic_HQTV_arctic_a0006,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_HQTV_arctic_a0006.wav,0.54,substitute,em,them,god bless [em] i hope i'll,God bless them. I hope I go and see them forever.,reference_error,,,
36,l2arctic_ASI_arctic_a0021,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_ASI_arctic_a0021.wav,0.54,substitute,clubbed,clogged,it fairly [clubbed] me into recognizing,It fairly clogged me into recognizing it.,accent_phoneme,,,
37,l2arctic_ABA_arctic_a0031,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_ABA_arctic_a0031.wav,0.76,delete,hundred,,they were three [hundred] yards apart,They were 300 yards apart.,deletion_other,,,
38,l2arctic_HQTV_arctic_a0023,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_HQTV_arctic_a0023.wav,2.78,substitute,quickly,weekly,of canadian capital [quickly] organized and petitioned,"a combination of Canadians, capital weekly, organized and petitioned for the same privilege.",accent_phoneme,,,
39,l2arctic_BWC_arctic_a0051,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_BWC_arctic_a0051.wav,7.0,insert,,a,,"The face was a delicate emerald color, faintly tinted with yellow. The face was a delicate emerald color, not a delicate emerald color, but a delicate emerald color.",hallucination,,,
40,l2arctic_BWC_arctic_a0031,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_BWC_arctic_a0031.wav,0.42,delete,hundred,,they were three [hundred] yards apart,they were 300 yards apart.,accent_phoneme,,,
41,l2arctic_BWC_arctic_a0003,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_BWC_arctic_a0003.wav,1.08,substitute,time,times,for the twentieth [time] that evening the,for the 20 times that evening the two men shook hands.,accent_phoneme,,,
42,l2arctic_BWC_arctic_a0076,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_BWC_arctic_a0076.wav,0.2,substitute,gray,grid,the [gray] eyes faltered the,"the grid as filtered, the flow deepened.",accent_phoneme,,,
43,l2arctic_HQTV_arctic_a0062,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_HQTV_arctic_a0062.wav,1.32,substitute,other's,other,stared into each [other's] face,The men stay into each other phase.,accent_phoneme,,,
44,l2arctic_BWC_arctic_a0062,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_BWC_arctic_a0062.wav,0.32,substitute,stared,started,the men [stared] into each other's,the men started into each other's face.,model_lexical,,,
45,l2arctic_EBVS_arctic_a0020,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_EBVS_arctic_a0020.wav,1.24,substitute,grew,grow,balls and cities [grew] to be only,Clubs and boards and cities grow to be only memories.,accent_phoneme,,,
46,l2arctic_BWC_arctic_a0023,D:\Research\asr-l2-accent\data\processed\l2arctic\wav\l2arctic_BWC_arctic_a0023.wav,6.96,substitute,privileges,privilege,for the same [privileges],a combination of Canadian capital quickly organized and petitioned for the same privilege.,accent_phoneme,,,
