utt_id,accent,cefr,ref,baseline_hyp,adapted_hyp,changed,wer_baseline,wer_adapted
l2arctic_ABA_arctic_a0005,Arabic,,Will we ever forget it,Will we ever forget it?,Will we ever forget it?,False,0.0,0.0
l2arctic_ABA_arctic_a0006,Arabic,,God bless 'em I hope I'll go on seeing them forever,God bless them. I hope I'll go on seeing them forever.,God bless them. I hope I'll go on seeing them forever.,False,0.09090909090909091,0.09090909090909091
l2arctic_ABA_arctic_a0007,Arabic,,And you always want to see it in the superlative degree,and you always want to see it in the superlative degree.,and you always want to see it in the superlative degree.,False,0.0,0.0
l2arctic_ABA_arctic_a0008,Arabic,,Gad your letter came just in time,"God, your letter came just in time.","God, your letter came just in time.",False,0.14285714285714285,0.14285714285714285
l2arctic_ABA_arctic_a0018,Arabic,,There was a change now,There was a change now.,There was a change now.,False,0.0,0.0
l2arctic_ABA_arctic_a0019,Arabic,,I followed the line of the proposed railroad looking for chances,"I followed the line of the proposed railroad, looking for chances.","I followed the line of the proposed railroad, looking for chances.",False,0.0,0.0
l2arctic_ABA_arctic_a0021,Arabic,,It fairly clubbed me into recognizing it,It fairly clubbed me into recognizing it.,It fairly clubbed me into recognizing it.,False,0.0,0.0
l2arctic_ABA_arctic_a0025,Arabic,,I was about to do this when cooler judgment prevailed,I was about to do this when cooler judgment prevailed.,I was about to do this when cooler judgment prevailed.,False,0.0,0.0
l2arctic_ABA_arctic_a0026,Arabic,,It occurred to me that there would have to be an accounting,It occurred to me that there would have to be an accounting.,It occurred to me that there would have to be an accounting.,False,0.0,0.0
l2arctic_ABA_arctic_a0027,Arabic,,To my surprise he began to show actual enthusiasm in my favor,"To my surprise, he began to show actual enthusiasm in my favor.","To my surprise, he began to show actual enthusiasm in my favor.",False,0.0,0.0
l2arctic_ABA_arctic_a0028,Arabic,,Robbery bribery fraud,"robbery, bribery, fraud,","robbery, bribery, fraud,",False,0.0,0.0
l2arctic_ABA_arctic_a0029,Arabic,,Their forces were already moving into the north country,their forces were already moving into the north country.,their forces were already moving into the north country.,False,0.0,0.0
l2arctic_ABA_arctic_a0030,Arabic,,I had faith in them,I had faith in them.,I had faith in them.,False,0.0,0.0
l2arctic_ABA_arctic_a0036,Arabic,,She turned in at the hotel,She turned it in at the hotel.,She turned it in at the hotel.,False,0.16666666666666666,0.16666666666666666
l2arctic_ABA_arctic_a0037,Arabic,,I was the only one who remained sitting,I was the only one who remained sitting.,I was the only one who remained sitting.,False,0.0,0.0
l2arctic_ABA_arctic_a0039,Arabic,,The ship should be in within a week or ten days,The ship should be in within a week or ten days.,The ship should be in within a week or ten days.,False,0.0,0.0
l2arctic_ABA_arctic_a0040,Arabic,,I suppose you wonder why she is coming up here,I suppose you wonder why she is coming up here.,I suppose you wonder why she is coming up here.,False,0.0,0.0
l2arctic_ABA_arctic_a0041,Arabic,,Meanwhile I'll go out to breathe a spell,meanwhile i'll go out to breathe sperm,"Meanwhile, I'll go out to breathe sperm",True,0.25,0.25
l2arctic_ABA_arctic_a0042,Arabic,,How could he explain his possession of the sketch,How could he explain his position of the sketch?,How could he explain his position of the sketch?,False,0.1111111111111111,0.1111111111111111
l2arctic_ABA_arctic_a0045,Arabic,,He moved away as quietly as he had come,He moved away as quietly as he had come.,He moved away as quietly as he had come.,False,0.0,0.0
l2arctic_ABA_arctic_a0046,Arabic,,The girl faced him her eyes shining with sudden fear,"The girl faced him, her eyes shining with sudden fear.","The girl faced him, her eyes shining with sudden fear.",False,0.0,0.0
l2arctic_ABA_arctic_a0047,Arabic,,Close beside him gleamed the white fangs of the wolf dog,"close beside him, gleamed the white fangs of the wolf-duck.","Close beside him, gleamed the white fangs of the wolf-dog.",True,0.09090909090909091,0.0
l2arctic_ABA_arctic_a0048,Arabic,,He looked at the handkerchief more closely,He looked at the hand kerchief more closely.,He looked at the handkerchief more closely.,True,0.2857142857142857,0.0
l2arctic_ABA_arctic_a0052,Arabic,,It was a curious coincidence,It was a curious coincidence.,It was a curious coincidence.,False,0.0,0.0
l2arctic_ABA_arctic_a0053,Arabic,,Suddenly his fingers closed tightly over the handkerchief,Suddenly his fingers closed tightly over the hand crochet.,"Suddenly, his fingers closed tightly over the handkerchief.",True,0.25,0.0
l2arctic_ABA_arctic_a0054,Arabic,,There was nothing on the rock,There was nothing on the rock.,There was nothing on the rock.,False,0.0,0.0
l2arctic_ABA_arctic_a0058,Arabic,,I came for information more out of curiosity than anything else,I came for information more out of curiosity than anything else.,I came for information more out of curiosity than anything else.,False,0.0,0.0
l2arctic_ABA_arctic_a0059,Arabic,,His immaculate appearance was gone,His immaculate appearance was gone.,His immaculate appearance was gone.,False,0.0,0.0
l2arctic_ABA_arctic_a0060,Arabic,,Anyway no one saw her like that,"Anyway, no one saw hair like that.","Anyway, no one saw her like that.",True,0.14285714285714285,0.0
l2arctic_ABA_arctic_a0062,Arabic,,The men stared into each other's face,The men stared into each other's face.,The men stared into each other's face.,False,0.0,0.0
l2arctic_ABA_arctic_a0064,Arabic,,The fourth and fifth days passed without any developments,the fourth and fifth days passed without any developments.,the fourth and fifth days passed without any developments.,False,0.0,0.0
l2arctic_ABA_arctic_a0067,Arabic,,Surely I will excuse you she cried,"Surely, I will excuse you, she cried.","Surely, I will excuse you, she cried.",False,0.0,0.0
l2arctic_ABA_arctic_a0071,Arabic,,What was the object of your little sensation,What was the object of your little sensation?,What was the object of your little sensation?,False,0.0,0.0
l2arctic_ABA_arctic_a0075,Arabic,,There has been a change she interrupted him,"There has been a change, she interrupted him","There has been a change, she interrupted him",False,0.0,0.0
l2arctic_ASI_arctic_a0003,Hindi,,For the twentieth time that evening the two men shook hands,for the 20th time that evening the two men shook hands.,for the 20th time that evening the two men shook hands.,False,0.09090909090909091,0.09090909090909091
l2arctic_ASI_arctic_a0005,Hindi,,Will we ever forget it,Will we ever forget it?,Will we ever forget it?,False,0.0,0.0
l2arctic_ASI_arctic_a0007,Hindi,,And you always want to see it in the superlative degree,and you will always want to see it in the superlative degree.,and you will always want to see it in the superlative degree.,False,0.09090909090909091,0.09090909090909091
l2arctic_ASI_arctic_a0008,Hindi,,Gad your letter came just in time,"Gad, your letter came just in time.","God, your letter came just in time.",True,0.0,0.14285714285714285
l2arctic_ASI_arctic_a0010,Hindi,,I'm playing a single hand in what looks like a losing game,I am playing a single hand in what looks like a losing game.,I am playing a single hand in what looks like a losing game.,False,0.16666666666666666,0.16666666666666666
l2arctic_ASI_arctic_a0013,Hindi,,He was a head shorter than his companion of almost delicate physique,He was a head shorter than his companion of almost delicate physique.,He was a head shorter than his companion of almost delicate physique.,False,0.0,0.0
l2arctic_ASI_arctic_a0021,Hindi,,It fairly clubbed me into recognizing it,it fairly clogged me into recognizing it.,It fairly clogged me into recognizing it.,True,0.14285714285714285,0.14285714285714285
l2arctic_ASI_arctic_a0023,Hindi,,A combination of Canadian capital quickly organized and petitioned for the same privileges,a combination of Canadian capital quickly organized and petitioned for the same privileges.,a combination of Canadian capital quickly organized and petitioned for the same privileges.,False,0.0,0.0
l2arctic_ASI_arctic_a0024,Hindi,,It was my reports from the north which chiefly induced people to buy,It was my report from the north which chiefly induced people to buy.,It was my report from the north which chiefly induced people to buy.,False,0.07692307692307693,0.07692307692307693
l2arctic_ASI_arctic_a0025,Hindi,,I was about to do this when cooler judgment prevailed,I was about to do this when cooler judgment prevailed.,I was about to do this when cooler judgment prevailed.,False,0.0,0.0
l2arctic_ASI_arctic_a0026,Hindi,,It occurred to me that there would have to be an accounting,It occurred to me that there would have to be an accounting.,It occurred to me that there would have to be an accounting.,False,0.0,0.0
l2arctic_ASI_arctic_a0027,Hindi,,To my surprise he began to show actual enthusiasm in my favor,"To my surprise, he began to show actual enthusiasm in my favor.","To my surprise, he began to show actual enthusiasm in my favor.",False,0.0,0.0
l2arctic_ASI_arctic_a0028,Hindi,,Robbery bribery fraud,"robbery, bribery, fraud.","robbery, bribery, fraud.",False,0.0,0.0
l2arctic_ASI_arctic_a0029,Hindi,,Their forces were already moving into the north country,Their forces were already moving into the north country.,Their forces were already moving into the north country.,False,0.0,0.0
l2arctic_ASI_arctic_a0030,Hindi,,I had faith in them,I had faith in them.,I had faith in them.,False,0.0,0.0
l2arctic_ASI_arctic_a0031,Hindi,,They were three hundred yards apart,They were 300 yards apart.,They were 300 yards apart.,False,0.3333333333333333,0.3333333333333333
l2arctic_ASI_arctic_a0032,Hindi,,Since then some mysterious force has been fighting us at every step,Since then some mysterious force has been fighting us at every step.,Since then some mysterious force has been fighting us at every step.,False,0.0,0.0
l2arctic_ASI_arctic_a0037,Hindi,,I was the only one who remained sitting,I was the only one who remained sitting.,I was the only one who remained sitting.,False,0.0,0.0
l2arctic_ASI_arctic_a0038,Hindi,,We'll have to watch our chances,We'll have to watch our chances.,We'll have to watch our chances.,False,0.0,0.0
l2arctic_ASI_arctic_a0039,Hindi,,The ship should be in within a week or ten days,The ship should be in within a week or 10 days.,The ship should be in within a week or 10 days.,False,0.09090909090909091,0.09090909090909091
l2arctic_ASI_arctic_a0040,Hindi,,I suppose you wonder why she is coming up here,I suppose you wonder why she is coming up here.,I suppose you wonder why she is coming up here.,False,0.0,0.0
l2arctic_ASI_arctic_a0046,Hindi,,The girl faced him her eyes shining with sudden fear,"The girl faced him, her eyes shining with sudden fear.","The girl faced him, her eyes shining with sudden fear.",False,0.0,0.0
l2arctic_ASI_arctic_a0047,Hindi,,Close beside him gleamed the white fangs of the wolf dog,Close beside him gleamed the white fangs of the wolf-dog.,Close beside him gleamed the white fangs of the wolf-dog.,False,0.0,0.0
l2arctic_ASI_arctic_a0048,Hindi,,He looked at the handkerchief more closely,He looked at the handkerchief more closely.,He looked at the handkerchief more closely.,False,0.0,0.0
l2arctic_ASI_arctic_a0051,Hindi,,The lace was of a delicate ivory color faintly tinted with yellow,"The lace was of a delicate ivory color, faintly tinted with yellow.","The lace was of a delicate ivory color, faintly tinted with yellow.",False,0.0,0.0
