utt_id,dataset,condition,op,ref_word,hyp_word,ref_context,ref_sentence,hyp_sentence,approx_time_s,speaker,accent,why_category,annotator_notes,pattern_freq,coincides_mispronunciation,nearest_mispron,nearest_mispron_dist_s,phoneme_classification
l2arctic_ABA_arctic_a0031,l2arctic,offline,delete,hundred,,they were three [hundred] yards apart,They were three hundred yards apart,They were 300 yards apart.,0.76,ABA,Arabic,,,6,False,sil>IY(a),0.156,asr_error_on_correct_speech
l2arctic_ASI_arctic_a0031,l2arctic,offline,delete,hundred,,they were three [hundred] yards apart,They were three hundred yards apart,They were 300 yards apart.,0.36,ASI,Hindi,,,6,True,ER0>AH0(s),0.0,coincides_mispronunciation
l2arctic_BWC_arctic_a0031,l2arctic,offline,delete,hundred,,they were three [hundred] yards apart,They were three hundred yards apart,they were 300 yards apart.,0.42,BWC,Mandarin,,,6,True,ER1>AX(s),0.0,coincides_mispronunciation
l2arctic_EBVS_arctic_a0031,l2arctic,offline,delete,hundred,,they were three [hundred] yards apart,They were three hundred yards apart,They were 300 yards apart.,0.48,EBVS,Spanish,,,6,False,TH>T(s),0.16,asr_error_on_correct_speech
l2arctic_HJK_arctic_a0031,l2arctic,offline,delete,hundred,,they were three [hundred] yards apart,They were three hundred yards apart,They were 300 yards apart.,0.38,HJK,Korean,,,6,False,DH>D(s),0.28,asr_error_on_correct_speech
l2arctic_HQTV_arctic_a0031,l2arctic,offline,delete,hundred,,they were three [hundred] yards apart,They were three hundred yards apart,They were 300 yards apart.,0.46,HQTV,Vietnamese,,,6,True,TH>T(s),0.0,coincides_mispronunciation
l2arctic_ABA_arctic_a0006,l2arctic,offline,substitute,em,them,god bless [em] i hope i'll,God bless 'em I hope I'll go on seeing them forever,God bless them. I hope I'll go on seeing them forever.,0.52,ABA,Arabic,,,6,False,sil>DH(a),0.41,asr_error_on_correct_speech
l2arctic_ASI_arctic_a0006,l2arctic,offline,substitute,em,them,god bless [em] i hope i'll,God bless 'em I hope I'll go on seeing them forever,God bless them. I hope I'll go on seeing them forever.,0.6,ASI,Hindi,,,6,False,D>D*(s),0.19,asr_error_on_correct_speech
l2arctic_BWC_arctic_a0006,l2arctic,offline,substitute,em,them,god bless [em] i hope i,God bless 'em I hope I will go on seeing them forever,God bless them. I hope I will go on seeing them forever.,0.78,BWC,Mandarin,,,6,False,sil>D(a),0.22,asr_error_on_correct_speech
l2arctic_EBVS_arctic_a0006,l2arctic,offline,substitute,em,them,god bless [em] i hope i'll,God bless 'em I hope I'll go on seeing them forever,God bless them. I hope I'll go on seeing them forever.,0.48,EBVS,Spanish,,,6,True,sil>EH(a),0.0,coincides_mispronunciation
l2arctic_HJK_arctic_a0006,l2arctic,offline,substitute,em,them,god bless [em] i hope i'll,God bless 'em I hope I'll go on seeing them forever,God bless them. I hope I will go on seeing them forever.,0.52,HJK,Korean,,,6,True,EH1>AE1(s),0.0,coincides_mispronunciation
l2arctic_HQTV_arctic_a0006,l2arctic,offline,substitute,em,them,god bless [em] i hope i'll,God bless 'em I hope I'll go on seeing them forever,God bless them. I hope I go and see them forever.,0.54,HQTV,Vietnamese,,,6,False,D>D*(s),0.28,asr_error_on_correct_speech
l2arctic_ABA_arctic_a0031,l2arctic,offline,substitute,three,300,they were [three] hundred yards apart,They were three hundred yards apart,They were 300 yards apart.,0.76,ABA,Arabic,,,6,False,sil>IY(a),0.156,asr_error_on_correct_speech
l2arctic_ASI_arctic_a0031,l2arctic,offline,substitute,three,300,they were [three] hundred yards apart,They were three hundred yards apart,They were 300 yards apart.,0.36,ASI,Hindi,,,6,True,ER0>AH0(s),0.0,coincides_mispronunciation
l2arctic_BWC_arctic_a0031,l2arctic,offline,substitute,three,300,they were [three] hundred yards apart,They were three hundred yards apart,they were 300 yards apart.,0.42,BWC,Mandarin,,,6,True,ER1>AX(s),0.0,coincides_mispronunciation
l2arctic_EBVS_arctic_a0031,l2arctic,offline,substitute,three,300,they were [three] hundred yards apart,They were three hundred yards apart,They were 300 yards apart.,0.48,EBVS,Spanish,,,6,False,TH>T(s),0.16,asr_error_on_correct_speech
