utt_id,dataset,speaker,accent,cefr,condition,mode,chunk_ms,left_ctx_ms,ref_text,hyp_text,duration_s,wer,cer,n_ref_words,substitutions,deletions,insertions,proc_time_s,rtf,mean_chunk_proc_s,algorithmic_latency_ms
l2arctic_ABA_arctic_a0003,l2arctic,ABA,Arabic,,offline,offline,,,For the twentieth time that evening the two men shook hands,for the 20th time that evening the two men shook hands.,4.92,0.09090909090909091,0.11864406779661017,11,1,0,0,0.7409,0.1506,,
l2arctic_ABA_arctic_a0005,l2arctic,ABA,Arabic,,offline,offline,,,Will we ever forget it,Will we ever forget it?,2.39,0.0,0.0,5,0,0,0,0.2145,0.0897,,
l2arctic_ABA_arctic_a0006,l2arctic,ABA,Arabic,,offline,offline,,,God bless 'em I hope I'll go on seeing them forever,God bless them. I hope I'll go on seeing them forever.,4.749,0.09090909090909091,0.04,11,1,0,0,0.2875,0.0605,,
l2arctic_ABA_arctic_a0007,l2arctic,ABA,Arabic,,offline,offline,,,And you always want to see it in the superlative degree,and you always want to see it in the superlative degree.,4.98,0.0,0.0,11,0,0,0,0.2191,0.044,,
l2arctic_ABA_arctic_a0008,l2arctic,ABA,Arabic,,offline,offline,,,Gad your letter came just in time,"God, your letter came just in time.",3.16,0.14285714285714285,0.030303030303030304,7,1,0,0,0.1867,0.0591,,
l2arctic_ABA_arctic_a0010,l2arctic,ABA,Arabic,,offline,offline,,,I'm playing a single hand in what looks like a losing game,I am playing a single hand in what looks like a losing game.,3.877,0.16666666666666666,0.034482758620689655,12,1,0,1,0.231,0.0596,,
l2arctic_ABA_arctic_a0011,l2arctic,ABA,Arabic,,offline,offline,,,If I ever needed a fighter in my life I need one now,"If I ever needed a fighter in my life, I need one now.",3.753,0.0,0.0,13,0,0,0,0.2558,0.0682,,
l2arctic_ABA_arctic_a0013,l2arctic,ABA,Arabic,,offline,offline,,,He was a head shorter than his companion of almost delicate physique,he was a hit shorter than his companion of almost delicate physique.,5.912,0.08333333333333333,0.04411764705882353,12,1,0,0,0.2702,0.0457,,
l2arctic_ABA_arctic_a0018,l2arctic,ABA,Arabic,,offline,offline,,,There was a change now,There was a change now.,1.397,0.0,0.0,5,0,0,0,0.226,0.1618,,
l2arctic_ABA_arctic_a0019,l2arctic,ABA,Arabic,,offline,offline,,,I followed the line of the proposed railroad looking for chances,"I followed the line of the proposed railroad, looking for chances.",5.3,0.0,0.0,11,0,0,0,0.236,0.0445,,
l2arctic_ABA_arctic_a0020,l2arctic,ABA,Arabic,,offline,offline,,,Clubs and balls and cities grew to be only memories,clubs and pools and cities grow to be only memories.,4.283,0.2,0.0784313725490196,10,2,0,0,0.1748,0.0408,,
l2arctic_ABA_arctic_a0021,l2arctic,ABA,Arabic,,offline,offline,,,It fairly clubbed me into recognizing it,It fairly clubbed me into recognizing it.,3.825,0.0,0.0,7,0,0,0,0.1677,0.0439,,
l2arctic_ABA_arctic_a0022,l2arctic,ABA,Arabic,,offline,offline,,,Hardly were our plans made public before we were met by powerful opposition,Hardly where our plans made public before we were met by powerful opposition.,7.16,0.07692307692307693,0.013333333333333334,13,1,0,0,0.1917,0.0268,,
l2arctic_ABA_arctic_a0023,l2arctic,ABA,Arabic,,offline,offline,,,A combination of Canadian capital quickly organized and petitioned for the same privileges,a combination of Canadian capital quickly organised and petitioned for the same privileges.,6.836,0.07692307692307693,0.011111111111111112,13,1,0,0,0.2022,0.0296,,
l2arctic_ABA_arctic_a0024,l2arctic,ABA,Arabic,,offline,offline,,,It was my reports from the north which chiefly induced people to buy,It was my reports from the north which chively induced people to buy.,5.54,0.07692307692307693,0.029411764705882353,13,1,0,0,0.183,0.033,,
l2arctic_ABA_arctic_a0025,l2arctic,ABA,Arabic,,offline,offline,,,I was about to do this when cooler judgment prevailed,I was about to do this when cooler judgment prevailed.,4.7,0.0,0.0,10,0,0,0,0.1748,0.0372,,
l2arctic_ABA_arctic_a0026,l2arctic,ABA,Arabic,,offline,offline,,,It occurred to me that there would have to be an accounting,It occurred to me that there would have to be an accounting.,4.462,0.0,0.0,12,0,0,0,0.1848,0.0414,,
l2arctic_ABA_arctic_a0027,l2arctic,ABA,Arabic,,offline,offline,,,To my surprise he began to show actual enthusiasm in my favor,"To my surprise, he began to show actual enthusiasm in my favor.",5.433,0.0,0.0,12,0,0,0,0.1826,0.0336,,
l2arctic_ABA_arctic_a0028,l2arctic,ABA,Arabic,,offline,offline,,,Robbery bribery fraud,"rubbery, bribery, fraud",2.755,0.3333333333333333,0.047619047619047616,3,1,0,0,0.1914,0.0695,,
l2arctic_ABA_arctic_a0029,l2arctic,ABA,Arabic,,offline,offline,,,Their forces were already moving into the north country,their forces were already moving into the north country.,4.169,0.0,0.0,9,0,0,0,0.1623,0.0389,,
l2arctic_ABA_arctic_a0030,l2arctic,ABA,Arabic,,offline,offline,,,I had faith in them,I had faith in them.,1.473,0.0,0.0,5,0,0,0,0.149,0.1011,,
l2arctic_ABA_arctic_a0031,l2arctic,ABA,Arabic,,offline,offline,,,They were three hundred yards apart,They were 300 yards apart.,3.257,0.3333333333333333,0.37142857142857144,6,1,1,0,0.1543,0.0474,,
l2arctic_ABA_arctic_a0032,l2arctic,ABA,Arabic,,offline,offline,,,Since then some mysterious force has been fighting us at every step,"Since then, some Maestre force has been fighting us at every step.",6.308,0.08333333333333333,0.1044776119402985,12,1,0,0,0.1944,0.0308,,
l2arctic_ABA_arctic_a0036,l2arctic,ABA,Arabic,,offline,offline,,,She turned in at the hotel,She turned it in at the hotel.,2.471,0.16666666666666666,0.11538461538461539,6,0,0,1,0.1585,0.0641,,
l2arctic_ABA_arctic_a0037,l2arctic,ABA,Arabic,,offline,offline,,,I was the only one who remained sitting,I was the only one who remained sitting.,2.817,0.0,0.0,8,0,0,0,0.1745,0.0619,,
