utt_id,dataset,condition,op,ref_word,hyp_word,ref_context,ref_sentence,hyp_sentence,approx_time_s,speaker,accent,why_category,annotator_notes,pattern_freq
svarah_00487,svarah,offline,insert,,the,,"Simon Commission, was a group of seven Members of Parliament under the chairmanship of Sir John Simon.","known as the Simon Commission, was a group of seven members of Parliament under the Chairmanship of Sergeant John Simon.",0.62,,Odia,,,4
svarah_01398,svarah,offline,insert,,the,,it develops ability to work together,It develops the ability to work together.,1.04,,Sindhi,,,4
svarah_01485,svarah,offline,insert,,the,,There is no consensus reference standard for the diagnosis of carpal tunnel syndrome.,There is no consensus reference standard for the diagnosis of the carpal tunnel syndrome.,4.18,,Dogri,,,4
svarah_02004,svarah,offline,insert,,the,,Are there any Paid vaccination centres which provide Booster Dose of COVISHIELD,Are there any paid vaccination centers which provide the booster dose of Covishield?,2.92,,Telugu,,,4
svarah_00038,svarah,offline,substitute,centres,centers,there any vaccination [centres] available in south,Are there any vaccination centres available in South Goa district for age group 18+ years,Are there any vaccination centers available in South Goa district for age group 18 plus years?,1.5,,Nepali,,,4
svarah_01468,svarah,offline,substitute,centres,centers,any free vaccination [centres] which provide booster,Are there any Free vaccination centres which provide Booster Dose of Sputnik.,Are there any free vaccination centers which provide booster dose of Sputnik?,2.28,,Konkani,,,4
svarah_01733,svarah,offline,substitute,centres,centers,of state data [centres] leveraging cloud services,"Upgradation of State Data Centres, Leveraging Cloud Services for the Startups, Startup Warehouse,","of gradation of state data centers, leveraging cloud services for the starters, start of",2.26,,Nepali,,,4
svarah_02004,svarah,offline,substitute,centres,centers,any paid vaccination [centres] which provide booster,Are there any Paid vaccination centres which provide Booster Dose of COVISHIELD,Are there any paid vaccination centers which provide the booster dose of Covishield?,1.64,,Telugu,,,4
svarah_00461,svarah,offline,delete,it,,[it] got stick it,It got stick it just went on sticking and tearing,got sticky it just went on sticking and tearing,0.0,,Kannada,,,2
svarah_01353,svarah,offline,delete,it,,into doodling and [it] gradually converted to,"I have always been into doodling and it gradually converted to coloring with pencils, color pencils and then pastel colors and finally it settled down into oil painting. So I have been painting with oil paints since a long, long time now.","I have always been into doodling and gradually converted to coloring with pencils, color pencils and then pastel colors and finally it settled down into oil painting. So I have been painting with oil paints since a long long time now.",0.0,,Hindi,,,2
svarah_00813,svarah,offline,insert,,but,,"Rather, there are several several local stories and several legends which are from each of the former princely states.",But rather there are several local stories and several legends which are from each of the former princely states.,0.0,,Odia,,,2
svarah_01733,svarah,offline,insert,,of,,"Upgradation of State Data Centres, Leveraging Cloud Services for the Startups, Startup Warehouse,","of gradation of state data centers, leveraging cloud services for the starters, start of",0.0,,Nepali,,,2
svarah_02080,svarah,offline,insert,,but,,"can't accommodate more than people. Overall, my state needs more improvement on health care facilities.","But they can't accommodate more than people. Overall, my state needs more improvement on health care facilities.",0.0,,Dogri,,,2
svarah_02223,svarah,offline,insert,,an,,What to consider before investing in Employee Provident Fund Savings Scheme?,what to consider before investing in an employee provident fund savings scheme.,2.48,,Kashmiri,,,2
svarah_02265,svarah,offline,insert,,a,,My PRAN number is 4819122239,My P .R .A .N number is 481912239.,0.8,,Kannada,,,2
svarah_02367,svarah,offline,insert,,a,,Is the notifications for chat messages.,is the notifications for a chat message.,1.74,,Kannada,,,2
