utt_id,dataset,speaker,accent,cefr,condition,mode,chunk_ms,left_ctx_ms,ref_text,hyp_text,duration_s,wer,cer,n_ref_words,substitutions,deletions,insertions,proc_time_s,rtf,mean_chunk_proc_s,algorithmic_latency_ms
svarah_00021,svarah,,Hindi,,offline,offline,,,it is something which gives you warmth and the flavours are very different from the kind of food we as North Indians eat.,It is something which gives you warmth and the flavors are very different from the kind of food we as North Indians eat.,13.541,0.043478260869565216,0.008333333333333333,23,1,0,0,0.5525,0.0408,,
svarah_00024,svarah,,Punjabi,,offline,offline,,,"on each and every subject and he definitely deals with, handles all the good part of the happenings around the world.",on each and every subject and he definitely deals with handles all the good part of the happenings around the world.,12.181,0.0,0.0,21,0,0,0,0.2649,0.0217,,
svarah_00037,svarah,,Kannada,,offline,offline,,,our local traditions and beliefs by giving an opportunity,our local traditions and beliefs by giving an opportunity.,3.909,0.0,0.0,9,0,0,0,0.1746,0.0447,,
svarah_00038,svarah,,Nepali,,offline,offline,,,Are there any vaccination centres available in South Goa district for age group 18+ years,Are there any vaccination centers available in South Goa district for age group 18 plus years?,7.096,0.13333333333333333,0.07954545454545454,15,1,0,1,0.2201,0.031,,
svarah_00053,svarah,,Gujarati,,offline,offline,,,"The radiation, the chemotherapy, everything, every every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states.","the radiation, the chemotherapy, everything, every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states.",14.365,0.030303030303030304,0.031413612565445025,33,0,1,0,0.3445,0.024,,
svarah_00081,svarah,,Marathi,,offline,offline,,,The major challenge faced by students in Maharashtra,The major challenge faced by students in Maharashtra,3.224,0.0,0.0,8,0,0,0,0.1576,0.0489,,
svarah_00082,svarah,,Gujarati,,offline,offline,,,Can you speak the five dates that you remember?,can you speak the five dates that you remember,3.647,0.0,0.0,9,0,0,0,0.1675,0.0459,,
svarah_00088,svarah,,Hindi,,offline,offline,,,Can I avail any extra discount offers on Cereals this year?,Can I avail any extra discount offers on cereals this year?,3.91,0.0,0.0,11,0,0,0,0.1775,0.0454,,
svarah_00089,svarah,,Gujarati,,offline,offline,,,main medium of communication has been Gujarati,Main medium of communication has been Gujrati.,4.068,0.14285714285714285,0.021739130434782608,7,1,0,0,0.1679,0.0413,,
svarah_00106,svarah,,Gujarati,,offline,offline,,,this incident was the third major attack this week.,This incident was the third major attack this week.,2.371,0.0,0.0,9,0,0,0,0.1775,0.0749,,
svarah_00168,svarah,,Konkani,,offline,offline,,,The brand of Ambipur Car Freshener Gel I recieved is not correct,The brand of MBPOC car freshener gel I received is not correct.,4.373,0.16666666666666666,0.09375,12,2,0,0,0.1981,0.0453,,
svarah_00169,svarah,,Gujarati,,offline,offline,,,There was a movie called What's your Raashee which was based on that book.,There was a movie called What's a Rashi which was based on that book.,5.405,0.14285714285714285,0.0958904109589041,14,2,0,0,0.1975,0.0365,,
svarah_00180,svarah,,Maithili,,offline,offline,,,gajar halwa I did not know anything about it so I started watching videos on YouTube and then I,"I did not know anything about it, so I started watching videos on YouTube and then I",9.032,0.10526315789473684,0.12631578947368421,19,0,2,0,0.1943,0.0215,,
svarah_00191,svarah,,Malayalam,,offline,offline,,,"Christmas is observed with great merriment by Christians of various denominations, including Catholics and Protestants, throughout Assam.","Christmas is observed with great merriment by Christians of various denominations, including Catholics and Protestants, throughout Assam.",9.384,0.0,0.0,17,0,0,0,0.3176,0.0338,,
svarah_00230,svarah,,Assamese,,offline,offline,,,How has the English language influenced your culture and identity?,How has the English language influenced your culture and identity?,4.92,0.0,0.0,10,0,0,0,0.1875,0.0381,,
svarah_00251,svarah,,Nepali,,offline,offline,,,what's the weather forecast for today,What's the weather forecast for today?,2.799,0.0,0.0,6,0,0,0,0.2081,0.0744,,
svarah_00257,svarah,,Maithili,,offline,offline,,,Can you track the application status on National Scholarship portal for my mobile number 96131179914,Can you track the application status on National Scholarship Portal for my mobile number 96131179914?,9.255,0.0,0.0,15,0,0,0,0.2754,0.0298,,
svarah_00265,svarah,,Sindhi,,offline,offline,,,in yoga helps to stabilize our body,in yoga helps to stabilize our body,4.869,0.0,0.0,7,0,0,0,0.1608,0.033,,
svarah_00322,svarah,,Marathi,,offline,offline,,,The dialects,the dialects,1.662,0.0,0.0,2,0,0,0,0.1484,0.0892,,
svarah_00340,svarah,,Urdu,,offline,offline,,,orderly development and progress,Orderly Development and Progress,2.68,0.0,0.0,4,0,0,0,0.1754,0.0655,,
svarah_00397,svarah,,Tamil,,offline,offline,,,to underprivileged and marginalized communities,to underprivileged and marginalized communities.,3.25,0.0,0.0,5,0,0,0,0.162,0.0499,,
svarah_00398,svarah,,Bodo,,offline,offline,,,Though it was celebrated by the Bodos in a traditional way,Though it was celebrated by the borders in a traditional way.,4.532,0.09090909090909091,0.05172413793103448,11,1,0,0,0.1817,0.0401,,
svarah_00406,svarah,,Hindi,,offline,offline,,,My favorite quote is from a classic play named A Woman of No Importance by Oscar Wilde.,My favourite quote is from a classic play named A Woman of No Importance by Oscar Wilde.,6.88,0.058823529411764705,0.011627906976744186,17,1,0,0,0.2131,0.031,,
svarah_00413,svarah,,Nepali,,offline,offline,,,I feel this is the best way to preserve the nature in urban areas.,I feel this is the best way to preserve the nature in urban areas.,4.304,0.0,0.0,14,0,0,0,0.1843,0.0428,,
svarah_00434,svarah,,Malayalam,,offline,offline,,,"So here we are a state that boasts of 100% literacy, which means that all our citizens,","So here we are a state that boasts of 100 % literacy, which means that all are citizens.",7.56,0.058823529411764705,0.03571428571428571,17,1,0,0,0.2126,0.0281,,
svarah_00461,svarah,,Kannada,,offline,offline,,,It got stick it just went on sticking and tearing,got sticky it just went on sticking and tearing,4.159,0.2,0.08163265306122448,10,1,1,0,0.1546,0.0372,,
