utt_id,accent,cefr,ref,baseline_hyp,adapted_hyp,changed,wer_baseline,wer_adapted
l2arctic_ABA_arctic_a0003,Arabic,,For the twentieth time that evening the two men shook hands,for the 20th time that evening the two men shook hands.,for the 20th time that evening the two men shook hands.,False,0.09090909090909091,0.09090909090909091
l2arctic_ABA_arctic_a0006,Arabic,,God bless 'em I hope I'll go on seeing them forever,God bless them. I hope I'll go on seeing them forever.,God bless them. I hope I'll go on seeing them forever.,False,0.09090909090909091,0.09090909090909091
l2arctic_ABA_arctic_a0007,Arabic,,And you always want to see it in the superlative degree,and you always want to see it in the superlative degree.,and you always want to see it in the superlative degree.,False,0.0,0.0
l2arctic_ABA_arctic_a0010,Arabic,,I'm playing a single hand in what looks like a losing game,I am playing a single hand in what looks like a losing game.,I am playing a single hand in what looks like a losing game.,False,0.16666666666666666,0.16666666666666666
l2arctic_ABA_arctic_a0011,Arabic,,If I ever needed a fighter in my life I need one now,If I ever needed a fighter in my life I need one now.,If I ever needed a fighter in my life I need one now.,False,0.0,0.0
l2arctic_ABA_arctic_a0013,Arabic,,He was a head shorter than his companion of almost delicate physique,He was a hit shorter than his companion of almost delicate physique.,He was a hit shorter than his companion of almost delicate physique.,False,0.08333333333333333,0.08333333333333333
l2arctic_ABA_arctic_a0018,Arabic,,There was a change now,There was a change now.,There was a change now.,False,0.0,0.0
l2arctic_ABA_arctic_a0019,Arabic,,I followed the line of the proposed railroad looking for chances,"I followed the line of the proposed railroad, looking for chances.","I followed the line of the proposed railroad, looking for chances.",False,0.0,0.0
l2arctic_ABA_arctic_a0020,Arabic,,Clubs and balls and cities grew to be only memories,clubs and pools and cities grow to be only memories.,clubs and pools and cities grow to be only memories.,False,0.2,0.2
l2arctic_ABA_arctic_a0021,Arabic,,It fairly clubbed me into recognizing it,It fairly clubbed me into recognizing it.,It fairly clubbed me into recognizing it.,False,0.0,0.0
l2arctic_ABA_arctic_a0022,Arabic,,Hardly were our plans made public before we were met by powerful opposition,Hardly where our plans made public before we were met by powerful opposition.,Hardly where our plans made public before we were met by powerful opposition.,False,0.07692307692307693,0.07692307692307693
